+2735,51,20170804153030,+2735,+2735,+2735
+2735,11,20170804151330,+2735,+2735,+2735
 2720,35,20170804150330, 2720, 2720, 2720
+2725,1,20170804150100,+2725,+2725,+2725
 2720,1422,20170804145300, 2720, 2720, 2720
 2720,1,20170804144630, 2720, 2720, 2720
-2710,842,20170804143900, 2720, 2720,-2710
 2720,10,20170804135100, 2720, 2720, 2720
-2715,22,20170804133200,-2715,-2715,-2715
-2715,4,20170804132800,-2715,-2715,-2715
-2710,114,20170804132300,-2710,-2710,-2710
-2715,139,20170804131900,-2715,-2715,-2715
-2715,4,20170804125600,-2715,-2715,-2715
 2720,5,20170804125500, 2720, 2720, 2720
 2720,1,20170804125000, 2720, 2720, 2720
 2720,10,20170804124130, 2720, 2720, 2720
-2710,140,20170804123330,-2710,-2710,-2710
-2710,10,20170804121730,-2710,-2710,-2710
-2710,1,20170804121200,-2710,-2710,-2710
-2710,132,20170804121100,-2710,-2710,-2710
-2705,628,20170804121030,-2710,-2710,-2705
-2710,500,20170804121000,-2710,-2710,-2710
-2705,657,20170804120800,-2710,-2710,-2705
-2705,468,20170804115900,-2705,-2705,-2705
-2705,22,20170804115830,-2705,-2705,-2705
-2710,104,20170804115630,-2710,-2710,-2710
-2710,596,20170804114500, 2720, 2720,-2710
-2710,2,20170804113600,-2710,-2710,-2710
 2720,10,20170804112700, 2720, 2720, 2720
-2715,70,20170804111330,-2715,-2715,-2715
-2705,216,20170804111300,-2715,-2715,-2705
-2705,392,20170804111230,-2710,-2710,-2705
-2710,100,20170804111200,-2710,-2710,-2710
-2705,60,20170804110100,-2705,-2705,-2705
-2710,19,20170804110030,-2710,-2710,-2710
-2705,322,20170804105230,-2710,-2710,-2705
-2710,480,20170804104630,-2710,-2710,-2710
 2720,16,20170804104430, 2720, 2720, 2720
-2710,30,20170804103930,-2710,-2710,-2710
-2705,417,20170804103730,-2710,-2710,-2705
 2720,30,20170804103100, 2720, 2720, 2720
 2720,1000,20170804094130,-2715, 2720,-2715
 2720,500,20170804091930, 2720, 2720, 2720
 2720,800,20170804091400, 2720, 2720, 2720
 2720,20,20170804090600, 2720, 2720, 2720
 2720,10,20170804090030, 2720, 2720, 2720
-2720,300,20170803153030,-2720,-2720,-2720
-2705,390,20170803151100,-2710,-2710,-2705
-2705,40,20170803150600,-2705,-2705,-2705
-2705,2000,20170803150400,-2710,-2710,-2705
-2705,660,20170803150300,-2710,-2710,-2705
-2705,1464,20170803150230,-2710,-2710,-2705
-2710,840,20170803150000,-2715,-2715,-2710
-2720,1,20170803145730,-2720,-2720,-2720
-2720,96,20170803145700,-2720,-2720,-2720
-2715,558,20170803145500,-2720,-2720,-2715
-2720,3,20170803145100,-2720,-2720,-2720
-2715,72,20170803144800,-2715,-2715,-2715
-2720,680,20170803144600,-2720,-2720,-2720
